PRELIMINARY PACT DEVELOPMENTS DIRECTORY as of 1/1/2026

1010 EAST 178TH STREET

## TOTAL UNITS: 220

**Borough:** BRONX

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 3018080166 | 9 | M | 461 GATES AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050920 |
| 3018080165 | 9 | M | 463 GATES AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050919 |
| 3018080164 | 9 | M | 465 GATES AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050918 |
| 3018080163 3018080162 | 9 9 | M | 467 GATES AVENUE | 11216 | 3 | 08 08 | 25 | 56 | 36 | 3050917 |
|  | 9 | M M | 469 GATES AVENUE | 11216 | 3 | 08 | 25 25 | 56 | 36 36 | 3050916 |
| 3018080161 |  |  | 471 GATES AVENUE | 11216 | 3 |  |  | 56 |  | 3050915 |

---

| 3018080059 | 9 | M | 475 GATES AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050907 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |

## TOTAL UNITS: 248

## TRANSFERRED DATE:

## ARMSTRONG II

**Borough:** BROOKLYN

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 3017990044 | 1 | M | 375 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322165 |
| 3017990044 | 1 | M | 385 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322166 |
| 3017990044 | 1 | M | 395 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322173 |
| 3017990044 | 1 | M | 405 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322174 |
| 3017990044 | 1 | M | 415 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322175 |
| 3017990044 | 1 | M | 280 TOMPKINS AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322175 |
| 3018040010 | 2 | M | 360 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322211 |
| 3018040010 | 2 | M | 370 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322211 |
| 3018040010 | 2 | M | 380 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322213 |
| 3018040010 | 3 | M | 390 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322214 |
| 3018090001 | 4 | M | 775 MARCY AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322228 |
| 3018090001 | 4 | M | 785 MARCY AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322229 |
| 3018090001 | 4 | M | 791 MARCY AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322230 |
| 3018090062 | 5 | M | 499 GATES AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322236 |
| 3018090062 | 5 | M | 505 GATES AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322234 |
