address,zipcode,development,managedBy,communityDistrict,block,lot,bin
70 CLYMER STREET,11249,TAYLOR STREET-WYTHE AVENUE,TAYLOR STREET-WYTHE AVENUE,1,02175,0030,3251702
74 CLYMER STREET,11249,TAYLOR STREET-WYTHE AVENUE,TAYLOR STREET-WYTHE AVENUE,1,02175,0030,3251702
80 CLYMER STREET,11249,TAYLOR STREET-WYTHE AVENUE,TAYLOR STREET-WYTHE AVENUE,1,02175,0030,3251702
367 DOUGLASS STREET,11217,FHA REPOSSESSED HOUSES(GROUP IX),BAISLEY PARK,6,00943,0069,3019182
367 DOUGLASS STREET,11217,FHA REPOSSESSED HOUSES(GROUP IX),BAISLEY PARK,6,00943,0069,3019182
367 DOUGLASS STREET,11217,FHA REPOSSESSED HOUSES(GROUP IX),BAISLEY PARK,6,00943,0069,3019182
140 EAST 91ST STREET,11212,FHA REPOSSESSED HOUSES(GROUP IX),BAISLEY PARK,17,04609,0013,3099788
140 EAST 91ST STREET,11212,FHA REPOSSESSED HOUSES(GROUP IX),BAISLEY PARK,17,04609,0013,3099788
617 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08158,0001,3331298
618 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08174,0001,3321409
619 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08158,0001,3331298
620 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08174,0001,3321409
650 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08174,0001,3321410
651 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08158,0001,3331299
653 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08158,0001,3331299
655 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08158,0001,3331299
657 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08158,0001,3331299
711 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08158,0205,3321344
712 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08193,0001,3321519
713 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08158,0205,3321344
714 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08193,0001,3321519
715 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08158,0205,3321344
716 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08193,0001,3321519
717 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08158,0205,3321344
718 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08193,0001,3321519
757 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08158,0205,3321345
759 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08158,0205,3321345
761 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,08158,0205,3321345
5814 FARRAGUT ROAD,11234,GLENWOOD,GLENWOOD,18,07978,0001,3331003
5816 FARRAGUT ROAD,11234,GLENWOOD,GLENWOOD,18,07978,0001,3331003
105-12 FARRAGUT ROAD,11236,BREUKELEN,BREUKELEN,18,08174,0001,3321415
106-02 FARRAGUT ROAD,11236,BREUKELEN,BREUKELEN,18,08174,0001,3321407
106-12 FARRAGUT ROAD,11236,BREUKELEN,BREUKELEN,18,08174,0001,3321407
106-22 FARRAGUT ROAD,11236,BREUKELEN,BREUKELEN,18,08174,0001,3321408
107-02 FARRAGUT ROAD,11236,BREUKELEN,BREUKELEN,18,08174,0001,3321408
107-12 FARRAGUT ROAD,11236,BREUKELEN,BREUKELEN,18,08174,0001,3321409
103-07 FLATLANDS AVENUE,11236,BREUKELEN,BREUKELEN,18,08191,0001,3321514
106-03 FLATLANDS AVENUE,11236,BREUKELEN,BREUKELEN,18,08193,0001,3321521
106-05 FLATLANDS AVENUE,11236,BREUKELEN,BREUKELEN,18,08193,0001,3321521
106-07 FLATLANDS AVENUE,11236,BREUKELEN,BREUKELEN,18,08193,0001,3321521
106-09 FLATLANDS AVENUE,11236,BREUKELEN,BREUKELEN,18,08193,0001,3321521
107-11 FLATLANDS AVENUE,11236,BREUKELEN,BREUKELEN,18,08193,0001,3321520
107-13 FLATLANDS AVENUE,11236,BREUKELEN,BREUKELEN,18,08193,0001,3321520
107-15 FLATLANDS AVENUE,11236,BREUKELEN,BREUKELEN,18,08193,0001,3321520
108-35 FLATLANDS AVENUE,11236,BREUKELEN,BREUKELEN,18,08158,0205,3321346
108-37 FLATLANDS AVENUE,11236,BREUKELEN,BREUKELEN,18,08158,0205,3321346
108-39 FLATLANDS AVENUE,11236,BREUKELEN,BREUKELEN,18,08158,0205,3321346
108-41 FLATLANDS AVENUE,11236,BREUKELEN,BREUKELEN,18,08158,0205,3321346
344 FOUNTAIN AVENUE,11208,EAST NEW YORK CITY LINE,CYPRESS HILLS,5,04263,0040,3323978
345 FOUNTAIN AVENUE,11208,CYPRESS HILLS,CYPRESS HILLS,5,04292,0061,3337023
346 FOUNTAIN AVENUE,11208,EAST NEW YORK CITY LINE,CYPRESS HILLS,5,04263,0040,3323979
348 FOUNTAIN AVENUE,11208,EAST NEW YORK CITY LINE,CYPRESS HILLS,5,04263,0040,3323980
365 FOUNTAIN AVENUE,11208,CYPRESS HILLS,CYPRESS HILLS,5,04292,0061,3337025
375 FOUNTAIN AVENUE,11208,CYPRESS HILLS,CYPRESS HILLS,5,04292,0061,3337025
385 FOUNTAIN AVENUE,11208,CYPRESS HILLS,CYPRESS HILLS,5,04292,0061,3337037
395 FOUNTAIN AVENUE,11208,CYPRESS HILLS,CYPRESS HILLS,5,04292,0061,3337037
435 FOUNTAIN AVENUE,11208,CYPRESS HILLS,CYPRESS HILLS,5,04292,0061,3337039
445 FOUNTAIN AVENUE,11208,CYPRESS HILLS,CYPRESS HILLS,5,04292,0061,3337039
455 FOUNTAIN AVENUE,11208,CYPRESS HILLS,CYPRESS HILLS,5,04292,0061,3337039
460 FOUNTAIN AVENUE,11208,EAST NEW YORK CITY LINE,CYPRESS HILLS,5,04458,0035,3324298
462 FOUNTAIN AVENUE,11208,EAST NEW YORK CITY LINE,CYPRESS HILLS,5,04458,0035,3324299
464 FOUNTAIN AVENUE,11208,EAST NEW YORK CITY LINE,CYPRESS HILLS,5,04458,0035,3324300
465 FOUNTAIN AVENUE,11208,CYPRESS HILLS,CYPRESS HILLS,5,04292,0061,3337039
466 FOUNTAIN AVENUE,11208,EAST NEW YORK CITY LINE,CYPRESS HILLS,5,04458,0035,3324301
468 FOUNTAIN AVENUE,11208,EAST NEW YORK CITY LINE,CYPRESS HILLS,5,04458,0035,3324302
470 FOUNTAIN AVENUE,11208,EAST NEW YORK CITY LINE,CYPRESS HILLS,5,04458,0035,3324303
475 FOUNTAIN AVENUE,11208,CYPRESS HILLS,CYPRESS HILLS,5,04292,0061,3337041
485 FOUNTAIN AVENUE,11208,CYPRESS HILLS,CYPRESS HILLS,5,04292,0061,3337041
5905 GLENWOOD ROAD,11234,GLENWOOD,GLENWOOD,18,07978,0001,3331021
5907 GLENWOOD ROAD,11234,GLENWOOD,GLENWOOD,18,07978,0001,3331013
5909 GLENWOOD ROAD,11234,GLENWOOD,GLENWOOD,18,07978,0001,3331013
5913 GLENWOOD ROAD,11234,GLENWOOD,GLENWOOD,18,07978,0001,3331013
5915 GLENWOOD ROAD,11234,GLENWOOD,GLENWOOD,18,07978,0001,3331013
103-12 GLENWOOD ROAD,11236,BREUKELEN,BREUKELEN,18,08191,0001,3321517
104-06 GLENWOOD ROAD,11236,BREUKELEN,BREUKELEN,18,08191,0001,3321516
105-13 GLENWOOD ROAD,11236,BREUKELEN,BREUKELEN,18,08174,0001,3321414
106-02 GLENWOOD ROAD,11236,BREUKELEN,BREUKELEN,18,08193,0001,3321518
106-03 GLENWOOD ROAD,11236,BREUKELEN,BREUKELEN,18,08174,0001,3321413
106-04 GLENWOOD ROAD,11236,BREUKELEN,BREUKELEN,18,08193,0001,3321518
106-05 GLENWOOD ROAD,11236,BREUKELEN,BREUKELEN,18,08174,0001,3321413
106-06 GLENWOOD ROAD,11236,BREUKELEN,BREUKELEN,18,08193,0001,3321518
106-07 GLENWOOD ROAD,11236,BREUKELEN,BREUKELEN,18,08174,0001,3321413
106-08 GLENWOOD ROAD,11236,BREUKELEN,BREUKELEN,18,08193,0001,3321518
106-09 GLENWOOD ROAD,11236,BREUKELEN,BREUKELEN,18,08174,0001,3321413
107-17 GLENWOOD ROAD,11236,BREUKELEN,BREUKELEN,18,08174,0001,3321412
107-19 GLENWOOD ROAD,11236,BREUKELEN,BREUKELEN,18,08174,0001,3321412
107-21 GLENWOOD ROAD,11236,BREUKELEN,BREUKELEN,18,08174,0001,3321412
130 GOLD STREET,11201,FARRAGUT,FARRAGUT,2,00068,0001,3325904
150 GOLD STREET,11201,FARRAGUT,FARRAGUT,2,00068,0001,3325905
185 GOLD STREET,11201,FARRAGUT,FARRAGUT,2,00090,0001,3325920
330 HUDSON WALK,11201,INGERSOLL,INGERSOLL,2,02050,0001,3257038
340 HUDSON WALK,11201,INGERSOLL,INGERSOLL,2,02050,0001,3257036
342 HUDSON WALK,11201,INGERSOLL,INGERSOLL,2,02050,0001,3257036
24 HUMBOLDT STREET,11206,BUSHWICK,BUSHWICK,1,03129,0001,3338433
50 HUMBOLDT STREET,11206,BUSHWICK,BUSHWICK,1,03129,0001,3338434
101 HUMBOLDT STREET,11206,BORINQUEN PLAZA I,BORINQUEN PLAZA I,1,03080,0040,3071354
110 HUMBOLDT STREET,11206,BORINQUEN PLAZA II,BORINQUEN PLAZA I,1,03081,0080,3071363
111 HUMBOLDT STREET,11206,BORINQUEN PLAZA I,BORINQUEN PLAZA I,1,03080,0070,3071356
120 HUMBOLDT STREET,11206,BORINQUEN PLAZA II,BORINQUEN PLAZA I,1,03081,0070,3071361
124 HUMBOLDT STREET,11206,BORINQUEN PLAZA II,BORINQUEN PLAZA I,1,03081,0075,3071362
125 HUMBOLDT STREET,11206,BORINQUEN PLAZA I,BORINQUEN PLAZA I,1,03080,0020,3071353
130 HUMBOLDT STREET,11206,BORINQUEN PLAZA II,BORINQUEN PLAZA I,1,03081,0001,3071357
108 KINGSBOROUGH 1ST WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3324600
120 KINGSBOROUGH 1ST WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3324600
127 KINGSBOROUGH 1ST WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3324601
129 KINGSBOROUGH 1ST WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3324601
133 KINGSBOROUGH 1ST WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3324601
135 KINGSBOROUGH 1ST WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3324601
142 KINGSBOROUGH 1ST WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3331187
154 KINGSBOROUGH 1ST WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3331187
207 KINGSBOROUGH 2ND WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3324602
219 KINGSBOROUGH 2ND WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3324602
241 KINGSBOROUGH 2ND WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3324603
253 KINGSBOROUGH 2ND WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3324603
307 KINGSBOROUGH 3RD WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3331195
308 KINGSBOROUGH 3RD WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3331197
319 KINGSBOROUGH 3RD WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3331195
320 KINGSBOROUGH 3RD WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3331197
341 KINGSBOROUGH 3RD WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3331196
342 KINGSBOROUGH 3RD WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3331198
353 KINGSBOROUGH 3RD WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3331196
354 KINGSBOROUGH 3RD WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3331198
529 KINGSBOROUGH 5TH WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3331200
541 KINGSBOROUGH 5TH WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3331200
553 KINGSBOROUGH 5TH WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3331200
629 KINGSBOROUGH 6TH WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3324599
630 KINGSBOROUGH 6TH WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3324598
641 KINGSBOROUGH 6TH WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3324599
642 KINGSBOROUGH 6TH WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3324598
653 KINGSBOROUGH 6TH WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3324599
654 KINGSBOROUGH 6TH WALK,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3324598
707 KINGSBOROUGH 7TH WALK,11233,KINGSBOROUGH,KINGSBOROUGH,16,01438,0001,3257064
708 KINGSBOROUGH 7TH WALK,11233,KINGSBOROUGH,KINGSBOROUGH,16,01438,0001,3257063
719 KINGSBOROUGH 7TH WALK,11233,KINGSBOROUGH,KINGSBOROUGH,16,01438,0001,3257064
720 KINGSBOROUGH 7TH WALK,11233,KINGSBOROUGH,KINGSBOROUGH,16,01438,0001,3257063
60 KINGSLAND AVENUE,11211,COOPER PARK,COOPER PARK,1,02867,0001,3339336
76 KINGSLAND AVENUE,11211,COOPER PARK,COOPER PARK,1,02867,0001,3332781
387 LAFAYETTE AVENUE,11238,LAFAYETTE,LAFAYETTE,3,01938,0001,3321865
389 LAFAYETTE AVENUE,11238,LAFAYETTE,LAFAYETTE,3,01938,0001,3321865
411 LAFAYETTE AVENUE,11238,LAFAYETTE,LAFAYETTE,3,01938,0001,3339158
415 LAFAYETTE AVENUE,11238,LAFAYETTE,LAFAYETTE,3,01938,0001,3321869
433 LAFAYETTE AVENUE,11238,LAFAYETTE,LAFAYETTE,3,01938,0001,3321868
435 LAFAYETTE AVENUE,11238,LAFAYETTE,LAFAYETTE,3,01938,0001,3321868
30 MANHATTAN AVENUE,11206,BORINQUEN PLAZA I,BORINQUEN PLAZA I,1,03105,0001,3327986
50 MANHATTAN AVENUE,11206,BORINQUEN PLAZA I,BORINQUEN PLAZA I,1,03096,0001,3071440
43 MARCUS GARVEY BOULEVARD,11206,SUMNER,SUMNER,3,01580,0001,3324728
44 MARCUS GARVEY BOULEVARD,11206,SUMNER,SUMNER,3,01749,0015,3338600
47 MARCUS GARVEY BOULEVARD,11206,SUMNER,SUMNER,3,01580,0001,3324728
54 MARCUS GARVEY BOULEVARD,11206,SUMNER,SUMNER,3,01749,0015,3338601
56 MARCUS GARVEY BOULEVARD,11206,SUMNER,SUMNER,3,01749,0015,3338601
67 MARCUS GARVEY BOULEVARD,11206,SUMNER,SUMNER,3,01580,0001,3324732
68 MARCUS GARVEY BOULEVARD,11206,SUMNER,SUMNER,3,01749,0015,3338598
153 MARCUS GARVEY BOULEVARD,11206,ROOSEVELT I,ROOSEVELT,3,01597,0001,3324968
155 MARCUS GARVEY BOULEVARD,11206,ROOSEVELT I,ROOSEVELT,3,01597,0001,3324968
2301 MERMAID AVENUE,11224,POLICE SERVICE AREA #1,NYPD HOUSING BUREAU,13,07015,0040,3397616
16 MILL STREET,11231,RED HOOK EAST,RED HOOK EAST,6,00538,0001,3332221
21 MILL STREET,11231,RED HOOK EAST,RED HOOK EAST,6,00538,0001,3332069
22 MILL STREET,11231,RED HOOK EAST,RED HOOK EAST,6,00538,0001,3332221
62 MILL STREET,11231,RED HOOK EAST,RED HOOK EAST,6,00538,0001,3332228
108 MILL STREET,11231,RED HOOK EAST,RED HOOK EAST,6,00538,0001,3332219
116 MILL STREET,11231,RED HOOK EAST,RED HOOK EAST,6,00538,0001,3332219
60 MOORE STREET,11206,BORINQUEN PLAZA I,BORINQUEN PLAZA I,1,03105,0109,3071508
128 MOORE STREET,11206,BUSHWICK,BUSHWICK,1,03129,0001,3338434
130 MOORE STREET,11206,BUSHWICK,BUSHWICK,1,03129,0001,3338434
131 MOORE STREET,11206,HYLAN,BUSHWICK,1,03098,0001,3071469
140 MOORE STREET,11206,BUSHWICK,BUSHWICK,1,03129,0001,3338435
142 MOORE STREET,11206,BUSHWICK,BUSHWICK,1,03129,0001,3338435
160 MOORE STREET,11206,BUSHWICK,BUSHWICK,1,03129,0001,3338436
389 MORGAN AVENUE,11211,COOPER PARK,COOPER PARK,1,02867,0001,3332784
401 MORGAN AVENUE,11211,COOPER PARK,COOPER PARK,1,02867,0001,3332784
417 MORGAN AVENUE,11211,COOPER PARK,COOPER PARK,1,02867,0001,3327833
260 MOTHER GASTON BOULEVARD,11212,HOWARD,HOWARD,16,03489,0001,3339439
270 MOTHER GASTON BOULEVARD,11212,HOWARD,HOWARD,16,03489,0001,3424543
280 MOTHER GASTON BOULEVARD,11212,HOWARD,HOWARD,16,03489,0001,3424544
290 MOTHER GASTON BOULEVARD,11212,HOWARD,HOWARD,16,03489,0001,3339442
300 MOTHER GASTON BOULEVARD,11212,HOWARD,HOWARD,16,03489,0001,3339441
360 MOTHER GASTON BOULEVARD,11212,GLENMORE PLAZA,LOW HOUSES,16,03507,0001,3080766
500 MOTHER GASTON BOULEVARD,11212,BROWNSVILLE,BROWNSVILLE,16,03544,0001,3326508
512 MOTHER GASTON BOULEVARD,11212,BROWNSVILLE,BROWNSVILLE,16,03544,0001,3326509
528 MOTHER GASTON BOULEVARD,11212,BROWNSVILLE,BROWNSVILLE,16,03561,0001,3325326
544 MOTHER GASTON BOULEVARD,11212,BROWNSVILLE,BROWNSVILLE,16,03561,0001,3326524
550 MOTHER GASTON BOULEVARD,11212,BROWNSVILLE,BROWNSVILLE,16,03561,0001,3326524
556 MOTHER GASTON BOULEVARD,11212,BROWNSVILLE,BROWNSVILLE,16,03561,0001,3326524
563 MOTHER GASTON BOULEVARD,11212,VAN DYKE I,VAN DYKE I,16,03777,0001,3328041
565 MOTHER GASTON BOULEVARD,11212,VAN DYKE I,VAN DYKE I,16,03777,0001,3328041
630 MOTHER GASTON BOULEVARD,11212,TILDEN,TILDEN,16,03576,0001,3326549
327 MYRTLE AVENUE,11205,WHITMAN,WHITMAN,2,02041,0001,3335255
329 MYRTLE AVENUE,11205,WHITMAN,WHITMAN,2,02041,0001,3335255
329A MYRTLE AVENUE,11205,WHITMAN,WHITMAN,2,02041,0001,3335255
331 MYRTLE AVENUE,11205,WHITMAN,WHITMAN,2,02041,0001,3335255
331A MYRTLE AVENUE,11205,WHITMAN,WHITMAN,2,02041,0001,3335255
911A MYRTLE AVENUE,11206,TOMPKINS,TOMPKINS,3,01740,0001,3324249
911 MYRTLE AVENUE,11206,TOMPKINS,TOMPKINS,3,01740,0001,3324249
919 MYRTLE AVENUE,11206,TOMPKINS,TOMPKINS,3,01740,0001,3324250
921 MYRTLE AVENUE,11206,TOMPKINS,TOMPKINS,3,01740,0001,3324250
979 MYRTLE AVENUE,11206,SUMNER,SUMNER,3,01749,0015,3338596
987 MYRTLE AVENUE,11206,SUMNER,SUMNER,3,01749,0015,3338597
991 MYRTLE AVENUE,11206,SUMNER,SUMNER,3,01749,0015,3338597
995 MYRTLE AVENUE,11206,SUMNER,SUMNER,3,01749,0015,3338598
1031 MYRTLE AVENUE,11206,SUMNER,SUMNER,3,01580,0001,3324732
1043 MYRTLE AVENUE,11206,SUMNER,SUMNER,3,01580,0001,3324733
1055 MYRTLE AVENUE,11206,SUMNER,SUMNER,3,01580,0001,3324733
1059 MYRTLE AVENUE,11206,SUMNER,SUMNER,3,01580,0001,3324731
1060 MYRTLE AVENUE,11206,303 VERNON AVENUE,SUMNER,3,01585,0001,3042881
1061 MYRTLE AVENUE,11206,SUMNER,SUMNER,3,01580,0001,3324731
237 NASSAU STREET,11201,FARRAGUT,FARRAGUT,2,00090,0001,3325918
251 NASSAU STREET,11201,FARRAGUT,FARRAGUT,2,00090,0001,3325918
253 NASSAU STREET,11201,FARRAGUT,FARRAGUT,2,00090,0001,3325918
3201 NEPTUNE AVENUE,11224,GRAVESEND,O&#x27;DWYER GARDENS,13,06964,0002,3331083
3225 NEPTUNE AVENUE,11224,GRAVESEND,O&#x27;DWYER GARDENS,13,06964,0002,3331097
185 NEVINS STREET,11217,WYCKOFF GARDENS,WYCKOFF GARDENS,6,00394,0001,3336055
187 NEVINS STREET,11217,WYCKOFF GARDENS,WYCKOFF GARDENS,6,00394,0001,3336055
191 NEVINS STREET,11217,WYCKOFF GARDENS,WYCKOFF GARDENS,6,00394,0001,3336055
119 NOLL STREET,11206,POLICE SERVICE AREA #3,NYPD HOUSING BUREAU,4,03148,0053,3000000
121 NOLL STREET,11206,POLICE SERVICE AREA #3,NYPD HOUSING BUREAU,4,03148,0051,3000000
123 NOLL STREET,11206,POLICE SERVICE AREA #3,NYPD HOUSING BUREAU,4,03148,0050,3000000
125 NOLL STREET,11206,POLICE SERVICE AREA #3,NYPD HOUSING BUREAU,4,03148,0049,3000000
127 NOLL STREET,11206,POLICE SERVICE AREA #3,NYPD HOUSING BUREAU,4,03148,0048,3000000
81 NORTH PORTLAND AVENUE,11205,WHITMAN,WHITMAN,2,02041,0001,3335257
99 NORTH PORTLAND AVENUE,11205,WHITMAN,WHITMAN,2,02041,0001,3335258
101 NORTH PORTLAND AVENUE,11205,WHITMAN,WHITMAN,2,02041,0001,3335258
80 OSBORN STREET,11212,HOWARD,HOWARD,16,03489,0001,3424541
224 OSBORN STREET,11212,BROWNSVILLE,BROWNSVILLE,16,03544,0001,3326515
230 OSBORN STREET,11212,BROWNSVILLE,BROWNSVILLE,16,03544,0001,3326515
236 OSBORN STREET,11212,BROWNSVILLE,BROWNSVILLE,16,03544,0001,3326515
251 OSBORN STREET,11212,BROWNSVILLE,BROWNSVILLE,16,03544,0001,3344722
252 OSBORN STREET,11212,BROWNSVILLE,BROWNSVILLE,16,03544,0001,3326511
267 OSBORN STREET,11212,BROWNSVILLE,BROWNSVILLE,16,03561,0001,3326528
268 OSBORN STREET,11212,BROWNSVILLE,BROWNSVILLE,16,03561,0001,3326527
294 OSBORN STREET,11212,BROWNSVILLE,BROWNSVILLE,16,03561,0001,3326525
295 OSBORN STREET,11212,BROWNSVILLE,BROWNSVILLE,16,03561,0001,3326531
311 OSBORN STREET,11212,BROWNSVILLE,BROWNSVILLE,16,03561,0001,3326521
312 OSBORN STREET,11212,BROWNSVILLE,BROWNSVILLE,16,03561,0001,3326520
1880 PACIFIC STREET,11233,KINGSBOROUGH,KINGSBOROUGH,8,01344,0001,3331199
2000 PACIFIC STREET,11233,KINGSBOROUGH,NYC DEPT OF PARKS,16,01438,0001,
1740 PROSPECT PLACE,11233,PROSPECT PLAZA II,"CORNELL PLACE, INC",16,01463,0016,3425182
1743 PROSPECT PLACE,11233,PROSPECT PLAZA I,"CORNELL PLACE, INC",16,01458,0052,3425175
1744 PROSPECT PLACE,11233,PROSPECT PLAZA II,"CORNELL PLACE, INC",16,01463,0016,3425182
1747 PROSPECT PLACE,11233,PROSPECT PLAZA I,"CORNELL PLACE, INC",16,01458,0052,3425176
1748 PROSPECT PLACE,11233,PROSPECT PLAZA II,"CORNELL PLACE, INC",16,01463,0016,3425182
1751 PROSPECT PLACE,11233,PROSPECT PLAZA I,"CORNELL PLACE, INC",16,01458,0052,3425177
1752 PROSPECT PLACE,11233,PROSPECT PLAZA II,"CORNELL PLACE, INC",16,01463,0016,3425182
1755 PROSPECT PLACE,11233,PROSPECT PLAZA I,"CORNELL PLACE, INC",16,01458,0052,3425178
1756 PROSPECT PLACE,11233,PROSPECT PLAZA II,"CORNELL PLACE, INC",16,01463,0016,3425182
1760 PROSPECT PLACE,11233,PROSPECT PLAZA II,"CORNELL PLACE, INC",16,01463,0016,3425182
1765 PROSPECT PLACE,11233,PROSPECT PLAZA I,"CORNELL PLACE, INC",16,01458,0140,3425174
314 PULASKI STREET,11206,ROOSEVELT I,ROOSEVELT,3,01597,0001,3324969
360 PULASKI STREET,11206,ROOSEVELT I,ROOSEVELT,3,01598,0001,3324973
383 PULASKI STREET,11206,ROOSEVELT II,ROOSEVELT,3,01595,0024,3043113
385 PULASKI STREET,11206,ROOSEVELT II,ROOSEVELT,3,01595,0024,3043113
388 PULASKI STREET,11206,ROOSEVELT I,ROOSEVELT,3,01598,0001,3324972
553 ROCKAWAY AVENUE,11212,BROWNSVILLE,BROWNSVILLE,16,03544,0001,3326513
557 ROCKAWAY AVENUE,11212,BROWNSVILLE,BROWNSVILLE,16,03544,0001,3326513
561 ROCKAWAY AVENUE,11212,BROWNSVILLE,BROWNSVILLE,16,03544,0001,3326513
619 ROCKAWAY AVENUE,11212,BROWNSVILLE,BROWNSVILLE,16,03561,0001,3326530
625 ROCKAWAY AVENUE,11212,BROWNSVILLE,BROWNSVILLE,16,03561,0001,3326530
659GAR ROCKAWAY AVENUE,11212,TILDEN,TILDEN,16,03576,0001,3388152
51 ROSS STREET,11249,TAYLOR STREET-WYTHE AVENUE,TAYLOR STREET-WYTHE AVENUE,1,02175,0080,3059903
55 ROSS STREET,11249,TAYLOR STREET-WYTHE AVENUE,TAYLOR STREET-WYTHE AVENUE,1,02175,0080,3059903
36 SAINT EDWARDS STREET,11205,INGERSOLL,INGERSOLL,2,02034,0001,3345032
46 SAINT EDWARDS STREET,11205,INGERSOLL,INGERSOLL,2,02034,0001,3345032
60 SAINT EDWARDS STREET,11205,INGERSOLL,INGERSOLL,2,02034,0001,3335233
64 SAINT EDWARDS STREET,11205,INGERSOLL,INGERSOLL,2,02034,0001,3335233
74 SAINT EDWARDS STREET,11205,INGERSOLL,INGERSOLL,2,02034,0001,3335233
82 SAINT EDWARDS STREET,11205,INGERSOLL,INGERSOLL,2,02034,0001,3345036
365 SACKMAN STREET,11212,LOW HOUSES,LOW HOUSES,16,03745,0001,3084013
367 SACKMAN STREET,11212,LOW HOUSES,LOW HOUSES,16,03745,0001,3084013
88 SAINT EDWARDS STREET,11205,INGERSOLL,INGERSOLL,2,02034,0001,3345036
90 SAINT EDWARDS STREET,11205,INGERSOLL,INGERSOLL,2,02034,0001,3345036
1008 SAINT MARKS AVENUE,11213,ALBANY,ALBANY,8,01352,0080,3324616
1630 SAINT MARKS AVENUE,11233,BROWN,GARVEY,16,01460,0001,3394308
1634 SAINT MARKS AVENUE,11233,BROWN,GARVEY,16,01460,0001,3324683
396 SARATOGA AVENUE,11233,PROSPECT PLAZA II,"CORNELL PLACE, INC",16,01463,0041,3425325
422 SARATOGA AVENUE,11233,PROSPECT PLAZA PHASE III,"CORNELL PLACE, INC",16,01467,7501,3324687
430 SARATOGA AVENUE,11233,PROSPECT PLAZA PHASE III,"CORNELL PLACE, INC",16,01467,7501,3324687
733 SNEDIKER AVENUE,11207,FHA REPOSSESSED HOUSES(GROUPV),BAISLEY PARK,5,03874,0007,3086027
733 SNEDIKER AVENUE,11207,FHA REPOSSESSED HOUSES(GROUPV),BAISLEY PARK,5,03874,0007,3086027
733 SNEDIKER AVENUE,11207,FHA REPOSSESSED HOUSES(GROUPV),BAISLEY PARK,5,03874,0007,3086027
