address,zipcode,development,managedBy,communityDistrict,block,lot,bin
34 DONGAN HILLS AVENUE,10306,BERRY,BERRY,2,03532,0500,5109567
40 DONGAN HILLS AVENUE,10306,BERRY,BERRY,2,03532,0500,5109568
44 DONGAN HILLS AVENUE,10306,BERRY,BERRY,2,03532,0500,5109568
50 DONGAN HILLS AVENUE,10306,BERRY,BERRY,2,03532,0500,5109568
311 GRANDVIEW AVENUE,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01245,0001,5110007
331 GRANDVIEW AVENUE,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01245,0001,5109123
361 GRANDVIEW AVENUE,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01248,0200,5109989
90 LAFAYETTE AVENUE,10301,CASSIDY-LAFAYETTE,RICHMOND TERRACE,1,00071,0001,5001761
100 LAFAYETTE AVENUE,10301,CASSIDY-LAFAYETTE,RICHMOND TERRACE,1,00071,0001,5001761
555 MCCLEAN AVENUE,10305,SOUTH BEACH,SOUTH BEACH,2,03243,0100,5109512
56 ROXBURY STREET,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01245,0001,5110014
62 ROXBURY STREET,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01245,0001,5110016
74 ROXBURY STREET,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01245,0001,5110016
80 ROXBURY STREET,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01245,0001,5110007
